,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
1339,HD 158259 b,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,Published Confirmed,0,2.178,9e-05,-0.0001,0.0,,,,,,,,,0,,,,,1.21,0.03,-0.08,0.0,1.08,0.1,-0.1,0.0,,,,,,,,,,17h25m23.90s,261.3495847,+52d47m25.70s,52.7904721,27.0498,0.0215,-0.0215,6.47915,0.023,-0.023,4.965,0.023,-0.023,6.30694,0.0003985,-0.0003985,10-04-20 11:31,2020-04,16-04-20
1341,HD 158259 c,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,Published Confirmed,0,3.432,0.0003,-0.00016,0.0,,,,,,,,,0,,,,,1.21,0.03,-0.08,0.0,1.08,0.1,-0.1,0.0,,,,,,,,,,17h25m23.90s,261.3495847,+52d47m25.70s,52.7904721,27.0498,0.0215,-0.0215,6.47915,0.023,-0.023,4.965,0.023,-0.023,6.30694,0.0003985,-0.0003985,10-04-20 11:31,2020-04,16-04-20
1342,HD 158259 d,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,Published Confirmed,0,5.1980814,0.0008186,-0.0008814,0.0,,,,,,,,,0,,,,,1.21,0.03,-0.08,0.0,1.08,0.1,-0.1,0.0,,,,,,,,,,17h25m23.90s,261.3495847,+52d47m25.70s,52.7904721,27.0498,0.0215,-0.0215,6.47915,0.023,-0.023,4.965,0.023,-0.023,6.30694,0.0003985,-0.0003985,10-04-20 11:31,2020-04,16-04-20
1343,HD 158259 e,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,Published Confirmed,0,7.9510000000000005,0.0022,-0.0021,0.0,,,,,,,,,0,,,,,1.21,0.03,-0.08,0.0,1.08,0.1,-0.1,0.0,,,,,,,,,,17h25m23.90s,261.3495847,+52d47m25.70s,52.7904721,27.0498,0.0215,-0.0215,6.47915,0.023,-0.023,4.965,0.023,-0.023,6.30694,0.0003985,-0.0003985,10-04-20 11:31,2020-04,16-04-20
1344,HD 158259 f,HD 158259,1,5,Radial Velocity,2020,Haute-Provence Observatory,Published Confirmed,0,12.027999999999999,0.009000000000000001,-0.009000000000000001,0.0,,,,,,,,,0,,,,,1.21,0.03,-0.08,0.0,1.08,0.1,-0.1,0.0,,,,,,,,,,17h25m23.90s,261.3495847,+52d47m25.70s,52.7904721,27.0498,0.0215,-0.0215,6.47915,0.023,-0.023,4.965,0.023,-0.023,6.30694,0.0003985,-0.0003985,10-04-20 11:31,2020-04,16-04-20
1345,HD 158996 b,HD 158996,1,1,Radial Velocity,2018,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,820.2,14.0,-14.0,0.0,2.1,0.0,,,,,0.13,0.0,0,4069.0,30.0,-30.0,0.0,50.3,4.3,-4.3,0.0,1.8,0.3,-0.3,0.0,-0.2,0.1,-0.1,0.0,[Fe/H],1.4,0.1,-0.1,0.0,17h19m37.23s,259.90510919999997,+80d08m11.05s,80.1364033,283.659,4.573,-4.573,5.72291,0.023,-0.023,2.133,0.23199999999999998,-0.23199999999999998,5.18609,0.0032928000000000002,-0.0032928000000000002,09-04-18 16:47,2018-02,12-04-18
1346,HD 159243 b,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,Published Confirmed,0,12.62,0.004,-0.004,0.0,0.11,0.0,,,,,0.02,0.0,0,6123.0,65.0,-65.0,0.0,1.12,0.05,-0.05,0.0,1.12,0.03,-0.03,0.0,0.05,0.04,-0.04,0.0,[Fe/H],4.55,0.11,-0.11,0.0,17h33m21.49s,263.3395365,+05d42m02.97s,5.7008254,73.3055,0.2351,-0.2351,8.65,0.03,-0.03,7.297000000000001,0.021,-0.021,8.51188,0.000442,-0.000442,14-05-14,2014-03,14-05-14
1347,HD 159243 c,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,Published Confirmed,0,248.4,4.9,-4.9,0.0,0.8,0.0,,,,,0.075,0.0,0,6123.0,65.0,-65.0,0.0,1.12,0.05,-0.05,0.0,1.12,0.03,-0.03,0.0,0.05,0.04,-0.04,0.0,[Fe/H],4.55,0.11,-0.11,0.0,17h33m21.49s,263.3395365,+05d42m02.97s,5.7008254,73.3055,0.2351,-0.2351,8.65,0.03,-0.03,7.297000000000001,0.021,-0.021,8.51188,0.000442,-0.000442,14-05-14,2014-03,14-05-14
1348,HD 159868 b,HD 159868,1,2,Radial Velocity,2006,Anglo-Australian Telescope,Published Confirmed,0,1184.1,7.1,-7.1,0.0,2.32,0.0,,,,,0.024,0.0,0,5534.0,,,0.0,2.13,,,0.0,1.19,,,0.0,,,,,,3.92,,,0.0,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503,0.16645,-0.16645,7.24,0.03,-0.03,5.535,0.024,-0.024,7.045789999999999,0.00035299999999999996,-0.00035299999999999996,03-12-18 14:48,2019-04,06-12-18
1352,HD 159868 c,HD 159868,1,2,Radial Velocity,2012,Anglo-Australian Telescope,Published Confirmed,0,351.0,1.1,-1.1,0.0,1.032,0.0,,,,,0.184,0.0,0,5534.0,,,0.0,2.13,,,0.0,1.19,,,0.0,,,,,,3.92,,,0.0,17h38m59.20s,264.7466665,-43d08m46.44s,-43.1462347,55.8503,0.16645,-0.16645,7.24,0.03,-0.03,5.535,0.024,-0.024,7.045789999999999,0.00035299999999999996,-0.00035299999999999996,03-12-18 14:48,2019-04,06-12-18
