,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
0,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,326.03,0.32,-0.32,0.0,1.29,0.0,,,,,0.231,0.0,0,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,[Fe/H],2.31,0.1,-0.1,0.0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.34600000000000003,-0.34600000000000003,4.44038,0.0038479,-0.0038479,14-05-14,2008-01,14-05-14
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,,,,,1.51,0.0,,,,,,,0,,,,,,,,,1.7,0.4,-0.3,0.0,,,,,,,,,,15h17m05.90s,229.27459539999998,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.5621599999999995,0.0039035,-0.0039035,25-04-18 14:08,2011-08,23-07-14
5,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,185.84,0.23,-0.23,0.0,0.83,0.0,,,,,0.0,0.0,0,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,[Fe/H],2.63,0.07,-0.07,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.7140000000000001,-0.7140000000000001,5.231330000000001,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028261999999999996,-0.0028261999999999996,14-05-14,2008-12,14-05-14
7,14 Her b,14 Her,1,1,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,1796.4,8.3,-8.3,0.0,2.8,0.0,,,,,0.33799999999999997,0.0,0,5255.0,50.0,-50.0,0.0,,,,,0.9,,,0.0,0.51,0.06,-0.06,0.0,[Fe/H],4.4,0.15,-0.15,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.816362100000006,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.7139999999999995,0.016,-0.016,6.382999999999999,0.0003512,-0.0003512,25-04-18 14:07,2004-01,21-08-14
13,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,800.8,11.7,-11.7,0.0,1.6,0.0,,,,,0.634,0.0,0,5760.0,20.0,-20.0,0.0,,,,,1.0,0.05,-0.05,0.0,0.05,0.06,-0.06,0.0,[Fe/H],4.35,0.07,-0.07,0.0,19h41m51.75s,295.4656422,+50d31m00.57s,50.516824299999996,21.1397,0.01105,-0.01105,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,25-04-18 14:07,1997-07,21-08-14
18,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,993.3,3.2,-3.2,0.0,2.6,0.0,,,,,0.08,0.0,0,4979.0,18.0,-18.0,0.0,8.5,,,0.0,2.3,,,0.0,-0.052000000000000005,0.023,-0.023,0.0,[Fe/H],2.82,0.06,-0.06,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.839137800000001,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539000000000003,-0.0026539000000000003,14-05-14,2008-06,14-05-14
20,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,Published Confirmed,0,,,,,330.0,0.0,18.647000000000002,,,0.0,,,0,4060.0,300.0,-200.0,0.0,1.35,,,0.0,0.85,0.2,-0.1,0.0,,,,,,,,,,16h09m30.30s,242.37623430000002,-21d04m59.31s,-21.083140300000004,139.135,1.3195,-1.3195,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,14-05-14,2008-12,14-05-14
24,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,30.3506,0.0078,-0.0077,0.0,0.19,0.0,,,,,0.042,0.0,0,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,-0.77,0.03,-0.03,0.0,[Fe/H],2.42,0.1,-0.1,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.844648799999995,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,25-04-18 14:16,2018-08,26-04-18
25,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,452.8,2.1,-4.5,0.0,1.3330000000000002,0.0,,,,,0.09,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.86848659999998,-00d54m08.64s,-0.9023998,72.0691,0.6791,-0.6791,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,14-05-14,2011-01,14-05-14
26,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,883.0,32.4,-13.8,0.0,2.08,0.0,,,,,0.29,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.86848659999998,-00d54m08.64s,-0.9023998,72.0691,0.6791,-0.6791,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,14-05-14,2011-01,14-05-14
27,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,Published Confirmed,0,,,,,84.0,0.0,,,,,,,0,,,,,,,,,0.19,0.02,-0.02,0.0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,15.788,0.275,-0.275,9.237001,0.022000000000000002,-0.022000000000000002,,,,08-09-20 15:11,2013-05,03-09-20
28,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,Published Confirmed,0,,,,,,,11.209000000000001,,,0.0,,,0,3309.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0.0,0.35,0.02,-0.02,0.0,,,,,,4.86,0.0,0.0,0.0,01h22m51.07s,20.712801199999998,-24d39m52.61s,-24.6646128,33.8281,0.0862,-0.0862,14.244000000000002,0.07400000000000001,-0.07400000000000001,9.198,0.026000000000000002,-0.026000000000000002,12.9025,0.001151,-0.001151,02-09-15 11:36,2015-05,03-09-15
30,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,,,,,156.0,0.0,16.141,0.336,-0.336,0.0,,,0,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,,,,,,4.59,0.06,-0.06,0.0,02h19m22.25s,34.842704600000005,-39d25m23.08s,-39.4230767,,,,,,,10.404000000000002,0.025,-0.025,15.0123,0.000624,-0.000624,14-05-15,2015-06,14-05-15
31,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,Published Confirmed,0,,,,,15.0,0.0,,,,,,,0,,,,,,,,,0.02,,,0.0,,,,,,,,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,14-05-14,2010-05,14-05-14
32,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,,,,,55.0,0.0,,,,,,,0,,,,,,,,,0.02,,,0.0,,,,,,,,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.65045,-0.65045,,,,11.945,0.026000000000000002,-0.026000000000000002,17.4076,0.002154,-0.002154,24-02-16 9:34,2004-10,25-02-16
34,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,416.0,2.0,-2.0,0.0,0.92,0.0,,,,,,,0,,,,,,,,,0.48,0.03,-0.03,0.0,,,,,,,,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.028999999999999998,-0.028999999999999998,12.1376,0.0036869999999999997,-0.0036869999999999997,04-06-15,2015-05,04-06-15
35,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,Published Confirmed,0,7336.5,1934.5,-584.0,0.0,,,10.31,4.37,-4.04,0.0,0.26,0.0,0,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,,,,,,,,,,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,,,,11.825999999999999,0.031,-0.031,17.3961,0.004861,-0.004861,14-05-14,2010-03,14-05-14
36,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,Published Confirmed,0,,,,,230.0,0.0,,,,,,,0,4045.0,35.0,-35.0,0.0,,,,,0.6,0.05,-0.05,0.0,,,,,,,,,,22h36m24.62s,339.10259310000004,+47d51m42.06s,47.861683,69.5737,0.15885,-0.15885,12.368,0.057,-0.057,9.148,0.018000000000000002,-0.018000000000000002,11.9484,0.000737,-0.000737,09-11-16 10:57,2017-01,10-11-16
37,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,335.10001,2.5,-2.5,0.0,0.99,0.0,,,,,0.29,0.0,0,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],4.43,0.05,-0.05,0.0,02h36m57.91s,39.24127360000001,+24d38m52.84s,24.6480103,44.657,0.10365,-0.10365,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,04-09-18 16:13,2017-03,06-09-18
40,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,269.3,1.96,-1.96,0.0,0.87,0.0,,,,,0.43200000000000005,0.0,0,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,08h40m12.67s,130.05280990000003,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,14-05-14,2007-09,14-05-14
41,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,479.1,6.2,-6.2,0.0,1.19,0.0,,,,,0.38,0.0,0,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,[Fe/H],1.71,0.05,-0.05,0.0,18h25m59.40s,276.49750530000006,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.21600000000000003,-0.21600000000000003,4.43216,0.0062380000000000005,-0.0062380000000000005,14-05-14,2009-06,14-05-14
42,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,1083.2,1.8,-1.8,0.0,2.11,0.0,,,,,0.049,0.0,0,,,,,,,,,,,,,,,,,,,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006,18-09-14,2007-01,18-09-14
46,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,Published Confirmed,0,7586.0,727.0,-727.0,0.0,7.73,0.0,,,,,0.005,0.0,0,,,,,,,,,,,,,,,,,,,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006,18-09-14,2007-01,18-09-14
48,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,14002.0,4018.0,-5095.0,0.0,11.6,0.0,,,,,0.16,0.0,0,5872.0,103.23,-103.23,0.0,1.21,0.05,-0.05,0.0,1.06,0.13,-0.13,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006,14-05-14,2010-04,14-05-14
49,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,Published Confirmed,0,11688.0,6209.25,-3287.25,0.0,12.0,0.0,,,,,0.45,0.0,0,7295.0,109.54,-109.54,0.0,1.49,0.05,-0.05,0.0,1.65,0.27,-0.27,0.0,,,,,,4.31,0.08,-0.08,0.0,04h37m36.18s,69.40074240000001,-02d28m25.77s,-2.4738245,29.7575,0.1208,-0.1208,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075,09-07-19 15:45,2019-04,11-07-19
52,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,4.2293,0.0011,-0.0011,0.0,,,,,,,0.0,0.0,0,5773.0,,,0.0,1.29,,,0.0,,,,,0.2,,,0.0,[M/H],4.32,,,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.769095800000002,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,01-11-16 22:24,1995-11,03-11-16
56,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,14.648,0.0009,-0.0009,0.0,0.11,0.0,,,,,0.051,0.0,0,5200.0,,,0.0,,,,,0.85,,,0.0,0.23,,,0.0,[Fe/H],4.5,,,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.01235,-0.01235,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523,09-11-16 10:57,1997-01,10-11-16
66,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,44.373000000000005,0.02,-0.018000000000000002,0.0,0.23735,0.0,,,,,0.07200000000000001,0.0,0,5250.0,147.57,-147.57,0.0,0.96,0.07,-0.07,0.0,0.9,0.12,-0.12,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42,0.09,-0.09,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.01235,-0.01235,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523,21-08-14,2014-06,21-08-14
72,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,4825.0,39.0,-39.0,0.0,5.502999999999999,0.0,,,,,0.019,0.0,0,,,,,,,,,0.95,,,0.0,,,,,,,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.01235,-0.01235,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523,29-10-14,2015-01,29-10-14
80,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,0.7365437,5.2e-06,-5.2e-06,0.0,0.01544,0.0,2.08,0.16,-0.17,0.0,0.061,0.0,0,5234.0,30.0,-30.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.31,0.04,-0.04,0.0,[Fe/H],4.45,0.08,-0.08,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.01235,-0.01235,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523,06-07-16 11:38,2011-09,03-12-15
92,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,260.91,0.36,-0.36,0.0,0.7733,0.0,,,,,0.08,0.0,0,5250.0,147.57,-147.57,0.0,0.96,0.07,-0.07,0.0,0.9,0.12,-0.12,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42,0.09,-0.09,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.01235,-0.01235,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523,21-08-14,2014-06,21-08-14
97,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,899.0,19.0,-19.0,0.0,2.2,0.0,,,,,0.134,0.0,0,4978.0,18.0,-18.0,0.0,5.2,0.4,-0.3,0.0,1.7,0.1,-0.2,0.0,-0.13,0.02,-0.02,0.0,[Fe/H],3.16,0.05,-0.05,0.0,06h30m47.05s,97.6960311,+58d09m40.23s,58.161175300000004,54.6599,0.2734,-0.2734,5.873069999999999,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,03-12-18 14:48,2008-12,21-08-14
100,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,4.215,0.0006,-0.0006,0.0,0.050200999999999996,0.0,,,,,0.12,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.017335,-0.017335,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701,14-05-14,2010-01,14-05-14
101,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,38.021,0.034,-0.034,0.0,0.2175,0.0,,,,,0.14,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.017335,-0.017335,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701,14-05-14,2010-01,14-05-14
102,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,123.01,0.55,-0.55,0.0,0.47600000000000003,0.0,,,,,0.35,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.017335,-0.017335,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701,14-05-14,2010-01,14-05-14
103,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,Published Confirmed,0,796.0,7.4,-7.4,0.0,1.93,0.0,,,,,0.22,0.0,0,4794.52,24.1,-24.1,0.0,4.91,,,0.0,,,,,0.08800000000000001,0.026000000000000002,-0.026000000000000002,0.0,[M/H],,,,,06h36m41.11s,99.171276,-19d15m22.25s,-19.256180800000003,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.6785300000000003,0.0041348,-0.0041348,18-10-19 16:18,2016-01,22-10-15
106,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,Published Confirmed,0,996.0,1.5,-52.4,0.0,2.153,0.0,,,,,0.08,0.0,0,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.256180800000003,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.6785300000000003,0.0041348,-0.0041348,18-10-19 16:18,2019-11,24-10-19
107,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,116.68799999999999,0.0054,-0.0054,0.0,0.48100000000000004,0.0,,,,,0.3988,0.0,0,5495.0,,,0.0,1.89,,,0.0,1.09,,,0.0,,,,,,3.95,,,0.0,13h28m25.56s,202.1064898,+13d46m34.71s,13.776308499999999,17.9011,0.05585,-0.05585,4.9680800000000005,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158,03-12-18 14:48,2019-04,06-12-18
112,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,Published Confirmed,0,691.9,3.6,-3.6,0.0,2.1,0.0,,,,,0.11699999999999999,0.0,0,4846.0,18.0,-18.0,0.0,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0.0,0.0,0.04,-0.04,0.0,[Fe/H],2.63,0.05,-0.05,0.0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.093430000000001,0.0039324,-0.0039324,02-09-15 11:36,2012-12,03-09-15
113,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,93.4,4.5,-4.5,0.0,0.49,0.0,,,,,0.06,0.0,0,4847.0,7.0,-7.0,0.0,10.3,0.57,-0.57,0.0,1.44,0.19,-0.19,0.0,-0.03,,,0.0,[Fe/H],2.57,0.03,-0.03,0.0,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.55200000000002,0.6485,-0.6485,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.558960000000001,0.00023700000000000001,-0.00023700000000000001,04-09-18 16:14,2017-03,06-09-18
115,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,,,,,2.17,0.0,,,,,,,0,,,,,,,,,1.6,0.4,-0.2,0.0,,,,,,,,,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607000000002,101.26,1.222,-1.222,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065000000000003,-0.0031065000000000003,23-07-14,2011-08,23-07-14
117,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,Published Confirmed,0,181.4,0.1,-0.1,0.0,0.7,0.0,,,,,0.027000000000000003,0.0,0,4665.0,18.0,-18.0,0.0,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,-0.03,0.1,-0.1,0.0,[Fe/H],2.52,0.05,-0.05,0.0,23h15m53.88s,348.97450310000005,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.23600000000000002,-0.23600000000000002,3.9531099999999997,0.008843,-0.008843,14-05-14,2013-07,14-05-14
118,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,Published Confirmed,0,,,,,260.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0734,-0.0734,9.13,0.03,-0.03,6.981,0.024,-0.024,8.8378,0.001332,-0.001332,14-05-14,2005-08,14-05-14
119,AU Mic b,AU Mic,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.46321,4e-05,-4e-05,0.0,0.066,0.0,4.203,0.20199999999999999,-0.20199999999999999,0.0,0.1,0.0,0,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,,,,,,,,,,20h45m09.87s,311.29113689999997,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.840380000000001,0.000731,-0.000731,12-06-20 16:41,2020-06,24-06-20
120,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,Published Confirmed,0,481.9,2.7,-2.8,0.0,1.3,0.0,,,,,0.2,0.0,0,4095.0,20.0,-20.0,0.0,32.35,8.82,-8.82,0.0,1.14,0.25,-0.25,0.0,-0.71,0.09,-0.09,0.0,[Fe/H],1.89,0.1,-0.1,0.0,11h50m15.53s,177.56472680000002,+02d45m36.39s,2.7601075,1070.63,63.875,-63.875,9.577,0.008,-0.008,6.021,0.021,-0.021,8.9977,0.000292,-0.000292,13-06-17 13:53,2017-10,15-06-17
121,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,268.94,0.99,-0.99,0.0,0.777,0.0,,,,,0.29,0.0,0,5008.0,20.0,-20.0,0.0,0.95,0.2,-0.2,0.0,0.86,0.15,-0.15,0.0,0.1,0.07,-0.07,0.0,[Fe/H],4.6,0.05,-0.05,0.0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0845,-0.0845,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.00025299999999999997,-0.00025299999999999997,25-04-18 14:06,2009-12,14-05-14
123,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,Published Confirmed,0,153.22,0.44,-0.44,0.0,0.5760000000000001,0.0,,,,,0.001,0.0,0,4649.0,30.0,-30.0,0.0,8.95,1.45,-1.45,0.0,1.08,0.14,-0.14,0.0,-0.22,0.08,-0.08,0.0,[Fe/H],2.61,0.12,-0.12,0.0,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,45.038000000000004,-45.038000000000004,10.41,0.01,-0.01,7.718,0.017,-0.017,9.9918,0.000458,-0.000458,03-02-16 9:48,2016-04,04-02-16
124,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,137.48,0.34,-0.34,0.0,0.539,0.0,,,,,0.26,0.0,0,4796.0,117.0,-117.0,0.0,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,0.28,0.07,-0.07,0.0,[Fe/H],2.8,0.45,-0.45,0.0,16h00m22.95s,240.09564,+15d32m48.30s,15.546750699999999,426.42,6.44,-6.44,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,14-05-14,2013-06,14-05-14
