,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
1380,0.00029432445478164474,4.30284114765008e-10,-4.30284114765008e-10,0.0,5.087679372981455e-06,0.0,0.0029324722989464824,0.0002314928537435743,-0.00021221612540210194,0.0,0.0,0.0,0.9986033735466305,0.016350796361070303,-0.015834455423352295,0.0,0.00023579569489122438,1.3769091672480255e-05,-1.3769091672480255e-05,0.0,0.00020309410216908376,8.60568229530016e-06,-1.2047955213420225e-05,0.0,5.610904856535704e-05,1.566234177744629e-05,-1.5318114485634285e-05,0.0,0.0007280407221823935,6.884545836240128e-06,-6.884545836240128e-06,0.0,0.01864015035974723,-0.007299298811459963,0.043049237227655426,0.0002648829010493389,-0.0002648829010493389,0.001893422218611941,1.5490228131540289e-06,-1.5490228131540289e-06,0.0016219989990181739,3.9586138558380735e-06,-3.9586138558380735e-06,0.001865436539787625,5.1978321063612966e-08,-5.1978321063612966e-08
1381,0.0005536439050277692,2.660597523861905e-09,-2.660597523861905e-09,0.0,7.670835235984355e-06,0.0,0.002689697809279145,0.0002050322966826081,-0.00010625761360923484,0.0,0.0,0.0,0.9982229334839385,0.009312091333516669,-0.008646941952551192,0.0,0.0002461052709572262,1.4965861071723216e-05,-6.651493809654763e-06,0.0,0.0001962190673848155,8.314367262068454e-06,-8.314367262068454e-06,0.0,7.815505226344346e-06,5.32119504772381e-06,-5.32119504772381e-06,0.0,0.000693418229656509,3.3257469048273814e-06,-6.651493809654763e-06,0.0,0.019524624717134002,-0.008666970781052214,0.05399067411500343,0.00040915001296638865,-0.00040915001296638865,0.001894012862299194,1.995448142896429e-06,-1.995448142896429e-06,0.0016385955000084507,4.157183631034227e-06,-4.157183631034227e-06,0.0018407011394148108,7.599331677530569e-08,-7.599331677530569e-08
1382,0.00015478349695811016,3.833666369411614e-10,-3.833666369411614e-10,0.0,3.2650058579488912e-06,0.0,0.0025335742618849007,0.00015047140499940584,-0.0001199618101428384,0.0,0.0,0.0,0.9961143116521177,0.008625749331176132,-0.008625749331176132,0.0,0.00021724109426665816,9.584165923529035e-06,-7.986804936274196e-06,0.0,0.00019328067945783556,6.3894439490193575e-06,-7.986804936274196e-06,0.0,-3.194721974509679e-07,1.3737304490391616e-05,-1.3577568391666135e-05,0.0,0.0006788784195833067,4.792082961764517e-06,-6.3894439490193575e-06,0.0,0.05020002776831919,0.005057407592838983,0.07101643318796799,0.0008797465637306028,-0.0008797465637306028,0.0018716278687664952,2.715513678333227e-06,-2.715513678333227e-06,0.0016999115626365998,2.555777579607743e-06,-2.555777579607743e-06,0.0018842310469559358,5.734525944244873e-08,-5.734525944244873e-08
1383,0.00041295407604838123,7.105632046787331e-10,-6.971563517602664e-10,0.0,6.5438849095035775e-06,0.0,0.002291767437882691,9.773595777562197e-05,-9.022812014128062e-05,0.0,0.0,0.0,0.9993468165425049,0.006569357930048664,-0.006569357930048664,0.0,0.0002212130731546999,8.044111751079996e-06,-8.044111751079996e-06,0.0,0.00021987238786285324,9.384797042926663e-06,-8.044111751079996e-06,0.0,-2.4132335253239994e-06,9.92107115966533e-06,-9.652934101295998e-06,0.0,0.0005657691931592931,2.6813705836933324e-06,-2.6813705836933324e-06,0.0,0.016841340996481644,0.0018414727157474728,0.030366521860326987,0.00033242291811338086,-0.00033242291811338086,0.0012379887984912115,4.0220558755399987e-07,-4.0220558755399987e-07,0.0011591565033306276,2.4132335253239994e-06,-2.4132335253239994e-06,0.0012346196563528006,4.665584815626398e-08,-4.665584815626398e-08
1384,0.00042966403156728027,4.189287139607206e-10,-4.189287139607206e-10,0.0,6.80759160186171e-06,0.0,0.002632966967243129,7.046979438410694e-05,-6.044542872861827e-05,0.0,0.0,0.0,0.9979480436135738,0.01795408774117374,-0.01795408774117374,0.0,0.0002857692298803487,5.98469591372458e-06,-5.98469591372458e-06,0.0,0.00022741844472153405,1.0473217849018016e-05,-1.0473217849018016e-05,0.0,1.3465565805880305e-05,1.9450261719604886e-05,-1.9450261719604886e-05,0.0,0.0006074466352430449,1.496173978431145e-06,-1.496173978431145e-06,0.0,0.032395731237614425,0.00889389751774441,0.04808344084922877,0.0003724725119304336,-0.0003724725119304336,0.0015201127620860435,7.480869892155725e-07,-7.480869892155725e-07,0.0013779762341350847,3.291582752548519e-06,-3.291582752548519e-06,0.0015116743408476918,5.0869915266658936e-08,-5.0869915266658936e-08
1385,0.0006141978621635065,1.1720038787004327e-09,-1.1720038787004327e-09,0.0,8.483709894683813e-06,0.0,0.002851298981715632,0.00016421372527700381,-0.00016421372527700381,0.0,0.0,0.0,0.9988669420742323,0.014650048483755408,-0.014650048483755408,0.0,0.0002437235338661127,1.3318225894323099e-05,-1.3318225894323099e-05,0.0,0.0002157552594880342,3.3295564735807745e-05,-2.6636451788646198e-05,0.0,-1.5981871073187717e-05,6.79229520610478e-05,-6.79229520610478e-05,0.0,0.0005500427294355439,3.995467768296929e-06,-3.995467768296929e-06,0.0,0.014851091005870402,0.001014286237967418,0.039991435986437625,0.0006145029427640677,-0.0006145029427640677,0.0013127775264034276,6.659112947161549e-07,-6.659112947161549e-07,0.0012247440532419521,3.0631919556943124e-06,-3.0631919556943124e-06,0.0013136179064573595,2.1695389981852328e-07,-2.1695389981852328e-07
1386,0.000668531410210675,1.6250980609095448e-09,-1.6088470803004493e-09,0.0,8.931538942758858e-06,0.0,0.0023425788548011085,0.00011846964864030582,-8.564266780993301e-05,0.0,0.0,0.0,0.9995978172654609,0.008125490304547723,0.0,0.0,0.0002973929451464467,1.1375686426366814e-05,0.0,0.0,0.00021288784597915035,4.875294182728634e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015058812344333821,0.005030837729714829,0.021785739584941174,0.00012960157035753618,-0.00012960157035753618,0.0014105851168694848,4.875294182728634e-06,-4.875294182728634e-06,0.0011937970355441515,5.037803988819588e-06,-5.037803988819588e-06,0.001394972799798327,5.379074581610593e-08,-5.379074581610593e-08
1387,0.00038655659179176927,5.563375805373525e-10,-6.676050966448229e-10,0.0,6.3422484181258175e-06,0.0,0.0022823192903964344,8.734500014436434e-05,-8.734500014436434e-05,0.0,0.0,0.0,0.9991822946450849,0.010014076449672343,-0.014464777093971162,0.0,0.0001780280257719528,6.676050966448228e-06,-6.676050966448228e-06,0.0,0.0002102956054431192,6.676050966448228e-06,-5.563375805373525e-06,0.0,-2.2253503221494097e-06,7.788726127522935e-06,-7.788726127522935e-06,0.0,0.00047956299442319776,2.2253503221494097e-06,-2.2253503221494097e-06,0.0,0.03278624347272051,0.003473682849989094,0.01517978215247777,9.02935893212123e-05,-9.02935893212123e-05,0.000844520447255701,3.338025483224114e-06,-3.338025483224114e-06,0.0008250486319368936,1.8915477738269983e-06,-1.8915477738269983e-06,0.0008428425331128002,5.6635165698702477e-08,-5.6635165698702477e-08
1388,0.0004741354230921845,4.330885142351531e-10,-4.330885142351531e-10,0.0,6.85592241928618e-06,0.0,0.002333034702290399,5.7351418400230884e-05,-5.879504678101472e-05,0.0,0.0,0.0,0.9971534942905129,0.010630354440317394,-0.011024071271440259,0.0,0.00021523186768050028,3.9371683112286634e-06,-3.9371683112286634e-06,0.0,0.00019160885781312832,3.9371683112286634e-06,-3.9371683112286634e-06,0.0,-5.315177220158697e-05,4.199646198643908e-06,-4.3308851423515305e-06,0.0,0.0005472663952607843,1.3123894370762214e-06,-1.3123894370762214e-06,0.0,0.04000163426797721,0.004275901878194926,0.061797531335157696,0.0008380262750450212,-0.0008380262750450212,0.0013759090858307106,7.874336622457328e-07,-7.874336622457328e-07,0.0013242009420099073,1.83734521190671e-06,-1.83734521190671e-06,0.0013834553250938986,3.648442635071895e-08,-3.648442635071895e-08
1389,0.00038187435067264986,1.8625943885621372e-09,-2.0319211511586953e-09,0.0,5.591169700938343e-06,0.0,0.002511115889306954,4.7411493527036225e-05,-4.7411493527036225e-05,0.0,0.0,0.0,0.9988585725570952,0.008297011367231339,-0.008297011367231339,0.0,0.00016932676259655792,1.6932676259655794e-06,-1.6932676259655794e-06,0.0,0.00015916715684076446,1.0159605755793476e-05,-8.466338129827897e-06,0.0,-1.7779310072638583e-05,1.3207487482531519e-05,-1.3038160719934961e-05,0.0,0.0007484242906767861,5.079802877896738e-06,-5.079802877896738e-06,0.0,0.03930863910046466,0.011236305483585807,0.021379366372204,5.951835705269011e-05,-5.951835705269011e-05,0.0017454202688453192,8.466338129827897e-07,-8.466338129827897e-07,0.001507685494159752,0.0,0.0,0.001724085096758153,7.094791352795779e-08,-7.094791352795779e-08
