,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Mean,293.9602,34.94016,-21.92708,-0.0014,4.94606,-0.00023,3.22873,0.51782,-0.3101,-0.00023,0.05291,0.0339,4903.78883,94.466,-93.89037,0.00023,1.32261,0.19238,-0.13426,0.0,0.82616,0.07705,-0.06902,0.0,-0.01343,0.08833,-0.09498,0.0,3.38681,0.06387,-0.09618,0.0,243.37708,22.3206,631.40475,31.08774,-34.41437,12.43673,0.1025,-0.10423,10.39361,0.04124,-0.04149,12.1101,0.00065,-0.00065
Variance,9083761.98358,230003.94807,103452.73341,0.0014,8282.11488,0.00023,370.64478,4.12709,1.24667,0.00023,0.01758,0.03323,5433814.04499,4219.87177,5040.26964,0.00023,11.45324,0.67337,0.65757,0.0,0.23686,0.01981,0.01848,0.0,0.035,0.01018,0.01177,0.0,3.43873,0.00741,0.01517,0.0,7602.75509,1115.67918,713875.59612,18203.46786,27696.22417,13.91495,0.02053,0.04735,12.48304,0.0639,0.07442,13.94527,0.0,0.0
